Model, tipo, train, test, V, VU, VUN, KL, KL36, KL_novel, NvsPC, VUNvsPC
CoCoGraphBASE, DTDSDiff, N<70, PC, 100, 99.8, 99.7, 95.1, -, -
CoCoGraphBASE, DTDSDiff, N<70, PC, 100, 99.8, 99.7, 95.1, -, -
CoCoGraphBASE, DTDSDiff, N<70, PC, 100, 99.8, 99.8, 95.9, -, -
CoCoGraphBASE, DTDSDiff, N<70, PC, 100, 99.8, 99.8, 96.0, -, -
CoCoGraphBASE, DTDSDiff, N<70, PC, 100, 99.8, 99.7, 96.0, -, -
CoCoGraphBASE_MEAN, DTDSDiff, N<70, PC, 100.00+-0.00, 99.80+-0.00, 99.74+-0.05, 95.62+-0.43, -, -, 94.83, 94.42
---------
CoCoGraphFPS, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 95.8, 95.4, 96,6
CoCoGraphFPS, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 95.9, 95.4, 96.5
CoCoGraphFPS, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 96.5, 95.4, 95.6
CoCoGraphFPS, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 96.5, 95.0, 95.7
CoCoGraphFPS, DTDSDiff, N<70, PC, 100, 99.9, 99.9, 96.5, 95.3, 96.4
CoCoGraphFPS_MEAN, DTDSDiff, N<70, PC, 100.00+-0.00, 99.90+-0.00, 99.82+-0.04, 96.24+-0.32, 95.30+-0.15, 96.04+-0.36, 94.71, 94.37
---------
CoCoGraphFPS, DTDSDiff, g<70, PC, 100, 100, 99.9, 93.9, 92.0, 93.9
CoCoGraphFPS, DTDSDiff, g<70, PC, 100, 100, 99.9, 93.8, 92.2, 93.8
CoCoGraphFPS, DTDSDiff, g<70, PC, 100, 100, 99.9, 94.1, 92.4, 94.1
CoCoGraphFPS, DTDSDiff, g<70, PC, 100, 100, 99.9, 93.3, 92.2, 93.3
CoCoGraphFPS, DTDSDiff, g<70, PC, 100, 100, 99.9, 93.8, 92.2, 93.8
CoCoGraphFPS_MEAN, DTDSDiff, g<70, PC, 100.00+-0.00, 100.00+-0.00, 99.90+-0.00, 93.78+-0.26, 92.20+-0.13, 93.78+-0.26
---------
CoCoGraphFPS_beam1, DTDSDiff, g<70, PC, 100, 99.9, 99.8, 92.2, 92.5, 92.2
CoCoGraphFPS_beam1, DTDSDiff, g<70, PC, 100, 99.9, 99.9, 92.2, 92.6, 92.2
