orig_smiles,noisy_smiles,molecular_formula,tries
CC(C)=CCc1cc(C(=O)Nc2cc3ccc(OC4CCCNC4)c(C)c3oc2=O)ccc1O,OCC12C3=CC4CC5C(O)C6CNCOC7=CC(CC89C7C7%10C(C7C3%108)C1(C4O)C1COC5N19)C62,C27H30N2O5,1
Cc1nc(N2CC[C@H](S(N)(=O)=O)C2)nc(C)c1CC(C)C,CNCC(CS)N1OCC23CC2C2C4NC1(C)C2(O)N4C3,C14H24N4O2S,1
CCN(CC)CCOc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,CN1OC23CC4CC56OC57CC5CN(C2)C28CC29NC1C7C1(C5CC12C3C6C92)C48,C24H27N3O2,1
CC(C)CC1=NNC(=O)C1Sc1ccc(Cl)cc1,ClC1CC23NC4C5C6C7C8CC[SH]829C7N1OC59C463,C13H15ClN2OS,3
CCCC(=O)NCCc1ccc(S(=O)(=O)N2CCN(C3CC=CCC3)C2=N)cc1,CC1CC2C3CC4(C)C5C6NC78OC3C3(C(O1)C43)C6(C)C7(C)C8NOC(SN)N25,C21H30N4O3S,2
Cc1nc2ccccc2c2nc(Nc3ccc(Cl)cc3)n(N)c(=O)c12,ClC12NN3CC45C6C7C8=C1C19C7CC7(C%10(CN%11OC%11C%10N14)C9C857)C63N2,C18H14ClN5O,2
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)COC(=O)c1ccc(Cl)nc1,ClC1C2OC3(CN3)C34ON5COCC67C(CCC8CC9OC5(C8)C5(OCN5C96)C2C73)OC14,C22H26ClN3O6,1
CC(C)NC(=O)NC[C@H]1O[C@@H](Cc2nc(-c3ccc(F)cc3)no2)[C@H](O)[C@@H]1O,COC1C(O)CC2NC3C4C5=C6CC63C2C2NC3C(F)N1OC3(NC24)C(O)O5,C18H23FN4O5,1
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCc3cccnc3)[nH]c3ccc(Cl)cc23)c1,CS123=C4C56C7OC8CC(CCC1)(OO2)C1CC2N(Cl)C9%10C3=C3NC5C82C2=C7C9N1C2C4%10C36,C24H22ClN3O3S,1
Oc1ccc(-c2c(-c3ccccc3)oc3cc(O)ccc23)cc1,CC1C2OC34C=C5OC67C89OC6%10C6C2%11C2C8C37C6(C%11C24%10)C5(C)C19,C20H14O3,1
COc1ccc(-c2csc(NC(=O)CN3CCN(c4cc(=O)[nH]c5ccc(F)cc45)CC3)n2)cc1,OC1C2CC34C5C67OC89C1C1%10ON%11C%12C%13C%14CNC3%15C3C%16NC8(C%12C(F)C%136C31)N9C7S%145%11(N%16)C2CC%104%15,C25H24FN5O3S,3
CCCCCCOc1ccc(C(=O)Nc2ccncc2)cc1-n1cnnn1,NC12C3CC4=C5C6CN3C37OCC8NN1N5C41C6CC24OC4C1CC3CN87,C19H22N6O2,3
O=C1N[C@@H](Cc2ccccc2)C(=O)N[C@H]1CO,O=CC12C3=CC(NC3)C3C4CC3(C1NO)C42O,C12H14N2O3,1
C=C1C(=CC=C2CCCC3(C)C(C(C)CC#CC(C)(C)O)=CCC23)CC(O)CC1O,CCC1CCC2C34CC56COC7CC5CC(C5CCC18OCCC(C8C6C5)C723)C4O,C27H38O3,2
CSc1cnc2ccccc2c1Sc1cn(C)c2ccccc2c1=O,OC12C3=[SH]45CC46C47C8C9C%10C%11=[SH]%12=CNCC5%13N5C%119C4(C3C516)C%13(C%12C87)C%102,C20H16N2OS2,1
CCCCCC(=O)/C=C\C=C\CCCCCCCC(=O)O,CCCCCC12C3CC(C)C(C)C1C(O)(C3)C1OOCC12,C18H30O3,2
O=[N+]([O-])c1cccc(-c2csc(NS(=O)(=O)c3ccc(Cl)cc3)n2)c1,SN1CC23OOOC45OC67C8NC89C8C%10%11CC%106C4(Cl)C92N2C83[SH]153C%11C273,C15H10ClN3O4S2,1
Fc1ccccc1-c1nc2ccn(Cc3ccc(Cl)cc3)cc-2n1,FN1C2C3C4C5N3C36C7CC(Cl)C89C%10=CC13N1C(C3C(C57C28)C%1031)C496,C19H13ClFN3,1
CSC[C@H]1O[C@@H](n2cnc3c(N)nc(N/N=C/CC(C)C)nc32)[C@H](O)[C@@H]1O,CC1C2C3N4OC56CNCN1NC1C7C8C(N5)C(CCOC13O)[SH2]41N7C82N61,C16H25N7O3S,1
O=C1CSC(c2ccccc2)N1CCCNc1ccnc2cc(Cl)ccc12,NC(N)C1C2C3CC45C6C7[SH3]8C=C9C4(Cl)CC4%10C%11%12C(OC185)C71N%11C6C91C24C3%12%10,C21H20ClN3OS,3
Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(Cc2ccccc2)c1,OC1[PH2]2CC3C4C5C6C7=CC38OOC1(C1=C3CCC9OC(CC98)C6C(O)(C2)C731)C54,C23H25O5P,1
O=C(O)c1cc(-c2ccc(C3CCNCC3)cc2)cc(-n2cc(-c3ccco3)nn2)c1,CC1C2CC34C(N)=C5C6C7C89NC%10%11CC2CC(=C2NC%10(C63C%114O2)C23N(C52C1CO)C783)O9,C24H22N4O3,2
