smiles,molecular_formula,num_atoms
Cc1ccc(C(F)(F)c2ccc(C#N)c(C(=O)N(CC(=O)C(C)(C)C)C3CCCCC3)c2)cc1,C28H32F2N2O2,66
COCCOP1(=O)OCC2C(CC3C2N2C(=O)N3C(=O)OCCOc3ccc(OC)nc32)O1,C19H24N3O10P,53
Cc1nc2ccc1cc2C(=O)c1ccc(F)c(Cl)c1,C15H9ClFNO,28
CC(=O)OCCCn1c(C(C)=O)nc2ccccc2c1=O,C15H16N2O4,37
Cc1ccc2c(C(=O)Nc3nnc(C)n3C)c1N=C2O,C13H13N5O2,33
COc1cc(OCCN2CN(C3CCCCC3)C(=O)NC2=O)ccc1OC(C)(C)C,C22H33N3O5,62
CCN(CCCCCCNC(=O)Nc1ccccc1)Cc1ccccc1,C22H31N3O,57
C=C(Cl)C=C(CN(C)C(=O)Nc1ccccc1)NC(=O)CCN1CCCCC1,C21H29ClN4O2,57
O=C1OCC2=C3C=CC=C(C(c4cccc(F)c4)=NN=NNN=C(S3)S2)c2cc1cc(F)c2F,C22H12F3N5O2S2,45
CCn1c(-c2ccc(F)cc2)cccc1=O,C13H12FNO,28
COc1cc(CCCCc2nc(C)nc3ccccc23)ccc1[N+](=O)[O-],C20H21N3O3,47
COc1ccc2c(c1)C1CCCCC1N(C(=O)c1ccc([N+](=O)[O-])cc1C)C2,C22H24N2O4,50
O=C(CCCCCN1CCN(C(=O)N2CCN(c3cc(Cl)ccn3)C2=O)C1=O)N1CCCCC1,C23H31ClN6O4,65
Cc1ccccc1-c1c(-c2ncn[nH]2)nc(O)nc1N(C)C,C15H16N6O,37
CCN(C(=O)N1CCN(c2ccc(Cl)cc2OC)C1=O)C(=O)N(CC)c1ccccc1C=Cc1ccccc1,C30H31ClN4O4,70
CC(=O)c1ccc2c(c1)c1ccc2n(CCCCCOc2ccccc2)c1=O,C24H23NO3,51
N#CC1=CC(=O)N(CCN2CC3CCC2C3)CC1C1CCCN1C(=O)c1cccc(F)c1,C25H29FN4O2,59
N#Cc1ccc2c(Nc3ccccc3)nc3ccccc3c2c1,C20H13N3,36
CO[Si](C)(OCCC(=O)O)OC(C)(C)C,C9H20O5Si,35
O=C(C1=CC=C1Br)N1CCCCC1,C10H12BrNO,25
CC1C(C)C(C(O)C2OC(C)C(C)(C)O2)C(C)(C)C1OC(=O)C(=CC(=O)O)CO,C21H34O8,56
COc1cc2c3c(cc(OCCC(C)(C)C)cc3c1Br)OC2=O,C18H19BrO4,42
CC1CCN(CC(=O)NC=Nc2ccccc2-c2ccccc2Cl)CC1,C21H24ClN3O,50
O=C(O)COc1ccccc1C(=O)N(CCC1CCCCC1)C(=O)C1CCCC1,C23H31NO5,59
CC(C(=O)N(CC1CCCCC1)C(=O)NC1CCCC1)=C(F)C#N,C18H26FN3O2,50
CSc1nnc(-c2ccc(F)cc2)n1C1=CC=C1C,C14H12FN3S,31
CCCCCN(C(=O)CN1C(=O)C2=CN=C1C2=O)C(C)(C)C,C16H23N3O3,45
CCCN(C)C(=O)c1ccc2cc(F)c3c(c2c1)N1N=C1N=C3Nc1cc(OC)ccc1C,C25H24FN5O2,57
CC(=N[N+](=O)[O-])N=C(C(=Cc1ccccc1)C(=O)c1cccc(Br)c1)c1ccccc1,C24H18BrN3O3,49
CCOC(=O)N1CCOc2ccccc21,C11H13NO3,28
CC(=O)N1CCN(C(=O)COC(=O)c2ccnc3c4ccc(c(F)c4Cl)c23)CC1,C20H17ClFN3O4,46
O=C1CN(CCN2CCCC2)CCN1C1=Nc2nc3ccccc3c3c(c(-c4ccccc4)ccc23)S1,C30H29N5OS,66
CCn1c(=O)c2ccc(c1=O)C(=O)OCCCCC2,C14H17NO4,36
COc1ccc2c(c1)C(=C(C)C1=CC(=O)OC1=O)CN(CC1CCCC1)C2=O,C22H23NO5,51
O=C(CC1CC1)NC(=O)c1ccccc1-c1ccccc1,C18H17NO2,37
COC(=O)N(C(=O)Nc1cccc(Cl)c1)C1CCC(Cn2c(C)ccc(-c3cccs3)c2=O)C1=O,C25H24ClN3O5S,58
Cc1ccc(C(=Nc2ccccc2)N2CCCN(C(=O)N3CCCCC3)C2=O)n1C,C23H29N5O2,59
CC12CCCN(C(=O)N3CCCCC3)C(=O)N(C1)C(=O)N(C(=O)C1=CC3=CC=C(Cl)C3=C1)C2,C24H27ClN4O4,60
C1=C2CC(C3CCCN4CCN5CC5C34)CC2=C1,C16H22N2,36
CCC(NC1=CC=c2c(nc3n2CC=N3)=C(Cl)C=C1)C(N)=O,C15H16ClN5O,37
COc1c([N+](=O)[O-])cc2ccc(C(=O)O)oc1-2,C10H7NO6,24
Cc1c(Oc2ccccc2OC(=O)N2CCC(NC(=O)C(C)(C)C)C(O)C2)c2ccc1c1ccccc21,C30H32N2O5,67
COC1CCC(=O)N(CC(=O)c2cc(F)cc(-c3ccccc3C(=O)c3cccc(C)c3)c2)C1=O,C28H24FNO5,58
Cc1nc2nc(C3=Nc4nnc(s4)N(c4ccccc4)C3)c1C=CC=C2c1ccccc1,C25H18N6S,50
CN1CC(C)(C)C2C1CN(C(=O)c1cc(Cl)cc(Cl)c1)C(=O)N2C1CCCCC1,C22H29Cl2N3O2,55
Cc1nc(SC=C2C=CC(=O)N(Cc3ccccc3Cl)C2)n(-c2cc(Cl)c3cc(Cl)cc(Cl)c3c2)c(=O)n1,C27H18Cl4N4O2S,56
CN1CCCCCCCCCCC(NC(=O)NS(=O)(=O)O)C1,C14H29N3O4S,50
CCN(c1cccc(-c2ccccc2)c1)c1nc(C2COCC(=O)O2)ccc1OC,C24H24N2O4,53
CC(C)(C)C(=NC(=CC=Cc1ccccc1)c1ccc(F)cc1)N1CCCC1=O,C25H27FN2O,56
NS(=O)(=O)N(c1ccc(O)cc1)c1ccccc1Cl,C12H11ClN2O3S,30
