Feature,Importance_Tier,log2_vs_JTVAE,log2_vs_Digress
MolLogP,1,3.160707915668038,0.21263612064316637
MolWt,1,5.078341917593893,2.455661847426812
TPSA,1,1.857299326442125,-0.058979741141637614
internal_similarity,1,0.24478240444523774,0.7996580056024609
NumHAcceptors,2,2.4084771442091957,1.0947788177218443
NumHDonors,2,-0.9910711607451645,-3.1066083593559206
NumRotatableBonds,2,2.1121549784483777,0.01683334530559636
BertzCT,3,4.37689411938577,2.463602496337379
NumAliphaticRings,3,-0.050012483262859404,-0.27276850555845494
NumAromaticRings,3,1.430983663617332,-2.1704721375916587
