,Feature,Category1,Category2,JS_Distance
0,BertzCT,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.15039914321618833
1,BertzCT,ori,jtvae,0.35296615548995997
2,BertzCT,ori,digress,0.22574690351294602
3,BertzCT,ori,defog_strict,0.19608952494948778
4,BertzCT,ori,defog_relaxed,0.19298985283880138
5,BertzCT,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.3957016309436085
6,BertzCT,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.1027704480047819
7,BertzCT,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_strict,0.06493520172874796
8,BertzCT,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_relaxed,0.06350980847368508
9,BertzCT,jtvae,digress,0.3443846923548995
10,BertzCT,jtvae,defog_strict,0.3462380196832266
11,BertzCT,jtvae,defog_relaxed,0.3420482503231644
12,BertzCT,digress,defog_strict,0.04839931658118077
13,BertzCT,digress,defog_relaxed,0.04730600764044486
14,BertzCT,defog_strict,defog_relaxed,0.010177113915354781
15,MolLogP,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.05960541031322517
16,MolLogP,ori,jtvae,0.22989504981326112
17,MolLogP,ori,digress,0.060138194495954034
18,MolLogP,ori,defog_strict,0.044198357060617324
19,MolLogP,ori,defog_relaxed,0.040652099362220084
20,MolLogP,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.3164174786101064
21,MolLogP,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.05496184041362935
22,MolLogP,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_strict,0.052497674738086794
23,MolLogP,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_relaxed,0.06088707501992368
24,MolLogP,jtvae,digress,0.2772450668072185
25,MolLogP,jtvae,defog_strict,0.2589430226131334
26,MolLogP,jtvae,defog_relaxed,0.2523317639272208
27,MolLogP,digress,defog_strict,0.029676774306462504
28,MolLogP,digress,defog_relaxed,0.03639890899583523
29,MolLogP,defog_strict,defog_relaxed,0.013772775109173917
30,MolWt,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.08570069432678472
31,MolWt,ori,jtvae,0.4145791117296089
32,MolWt,ori,digress,0.14206967763729783
33,MolWt,ori,defog_strict,0.16473645227230135
34,MolWt,ori,defog_relaxed,0.15540744107231766
35,MolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.49813327835760923
36,MolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.08000927802013186
37,MolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_strict,0.0997396485521932
38,MolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_relaxed,0.09030708256543424
39,MolWt,jtvae,digress,0.3276664012545866
40,MolWt,jtvae,defog_strict,0.34357517728012815
41,MolWt,jtvae,defog_relaxed,0.33884479128025996
42,MolWt,digress,defog_strict,0.06046019284438809
43,MolWt,digress,defog_relaxed,0.050846783126603415
44,MolWt,defog_strict,defog_relaxed,0.012799794447539025
45,TPSA,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.038610359515553146
46,TPSA,ori,jtvae,0.2057862639536507
47,TPSA,ori,digress,0.1305866956740036
48,TPSA,ori,defog_strict,0.13071783754840394
49,TPSA,ori,defog_relaxed,0.14577291882067003
50,TPSA,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.1982143954178294
51,TPSA,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.10329341196542825
52,TPSA,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_strict,0.10566594343395103
53,TPSA,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_relaxed,0.12193355441665833
54,TPSA,jtvae,digress,0.21603156556204842
55,TPSA,jtvae,defog_strict,0.21706789582866529
56,TPSA,jtvae,defog_relaxed,0.2371534468717488
57,TPSA,digress,defog_strict,0.020413039458611573
58,TPSA,digress,defog_relaxed,0.033397495325129194
59,TPSA,defog_strict,defog_relaxed,0.026098251688934912
60,NumHAcceptors,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.05536629649559083
61,NumHAcceptors,ori,jtvae,0.1473516134783816
62,NumHAcceptors,ori,digress,0.15279780306805002
63,NumHAcceptors,ori,defog_strict,0.1402629349479498
64,NumHAcceptors,ori,defog_relaxed,0.13643029944360477
65,NumHAcceptors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.17718122799979324
66,NumHAcceptors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.10733293031006125
67,NumHAcceptors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_strict,0.09651674904416907
68,NumHAcceptors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_relaxed,0.09194863367014543
69,NumHAcceptors,jtvae,digress,0.21360999818497783
70,NumHAcceptors,jtvae,defog_strict,0.20817202898511042
71,NumHAcceptors,jtvae,defog_relaxed,0.2036060791498107
72,NumHAcceptors,digress,defog_strict,0.022776156609307485
73,NumHAcceptors,digress,defog_relaxed,0.023110418469167802
74,NumHAcceptors,defog_strict,defog_relaxed,0.008623844481204762
75,NumHDonors,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.21418316405830762
76,NumHDonors,ori,jtvae,0.04275464653486056
77,NumHDonors,ori,digress,0.0710383609023966
78,NumHDonors,ori,defog_strict,0.057016060647111816
79,NumHDonors,ori,defog_relaxed,0.07176068777524558
80,NumHDonors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.2312025698721981
81,NumHDonors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.20688381666397918
82,NumHDonors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_strict,0.20721093227775728
83,NumHDonors,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_relaxed,0.2235410365933722
84,NumHDonors,jtvae,digress,0.10499975349201106
85,NumHDonors,jtvae,defog_strict,0.09171445518261855
86,NumHDonors,jtvae,defog_relaxed,0.10385034161064409
87,NumHDonors,digress,defog_strict,0.01760895649818486
88,NumHDonors,digress,defog_relaxed,0.021314626977362663
89,NumHDonors,defog_strict,defog_relaxed,0.023173582609491487
90,NumRotatableBonds,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.0915366351625109
91,NumRotatableBonds,ori,jtvae,0.2505001861240334
92,NumRotatableBonds,ori,digress,0.07602637730549255
93,NumRotatableBonds,ori,defog_strict,0.024559091658331776
94,NumRotatableBonds,ori,defog_relaxed,0.02419210370006367
95,NumRotatableBonds,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.2875665818220517
96,NumRotatableBonds,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.059786529981417334
97,NumRotatableBonds,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_strict,0.10632069174517318
98,NumRotatableBonds,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_relaxed,0.10677994304851085
99,NumRotatableBonds,jtvae,digress,0.27474007639196224
100,NumRotatableBonds,jtvae,defog_strict,0.22720713657269467
101,NumRotatableBonds,jtvae,defog_relaxed,0.23101019217415522
102,NumRotatableBonds,digress,defog_strict,0.08807683126538549
103,NumRotatableBonds,digress,defog_relaxed,0.08546797386721856
104,NumRotatableBonds,defog_strict,defog_relaxed,0.00867463262102059
105,NumAliphaticRings,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.15632600544305839
106,NumAliphaticRings,ori,jtvae,0.1161282743295536
107,NumAliphaticRings,ori,digress,0.13802416232092046
108,NumAliphaticRings,ori,defog_strict,0.08337509211655893
109,NumAliphaticRings,ori,defog_relaxed,0.06800261018799514
110,NumAliphaticRings,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.25803138748972315
111,NumAliphaticRings,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.06841756604078057
112,NumAliphaticRings,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_strict,0.09378196428719726
113,NumAliphaticRings,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_relaxed,0.10308841533957482
114,NumAliphaticRings,jtvae,digress,0.21942803606291747
115,NumAliphaticRings,jtvae,defog_strict,0.19094052768452785
116,NumAliphaticRings,jtvae,defog_relaxed,0.1764720079109449
117,NumAliphaticRings,digress,defog_strict,0.08077846683883035
118,NumAliphaticRings,digress,defog_relaxed,0.08771166085154232
119,NumAliphaticRings,defog_strict,defog_relaxed,0.017177772872416185
120,NumAromaticRings,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.07165871329021745
121,NumAromaticRings,ori,jtvae,0.22056006955148233
122,NumAromaticRings,ori,digress,0.14334361549186572
