Feature,Importance_Tier,log2_vs_JTVAE,log2_vs_Digress
MolLogP,1,1.953571139302621,-0.023339779653295183
MolWt,1,2.4513927866972067,1.1037400721510775
TPSA,1,2.4750219661176436,1.7999799666830714
internal_similarity,1,2.6360896465374233,1.2643642576972585
NumHAcceptors,2,1.4979311553543802,1.5123001017128979
NumHDonors,2,-2.2854303171924046,-1.6183067672387867
NumRotatableBonds,2,1.4654239276677377,-0.2598707650924864
BertzCT,3,1.2762911093607516,0.5835571157713416
NumAliphaticRings,3,-0.41586493866877794,-0.18056975691559352
NumAromaticRings,3,1.6816142843106168,1.030510814949298
