Feature,Category1,Category2,JS_Distance
MolWt,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.014379656173430512
MolWt,ori,jtvae,0.48582711203276274
MolWt,ori,digress,0.0788817209919833
MolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.5027282813210211
MolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.07974472792593605
MolWt,jtvae,digress,0.3276664012545866
ExactMolWt,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.013254034921115357
ExactMolWt,ori,jtvae,0.4856110634691915
ExactMolWt,ori,digress,0.07901222812495727
ExactMolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.5026386769343235
ExactMolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.07966655427970036
ExactMolWt,jtvae,digress,0.3253673409541524
HeavyAtomCount,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.01615390590495094
HeavyAtomCount,ori,jtvae,0.4665558071868674
HeavyAtomCount,ori,digress,0.08118304663944241
HeavyAtomCount,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.47537357650183343
HeavyAtomCount,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.0825643306326413
HeavyAtomCount,jtvae,digress,0.34701975921367556
NumValenceElectrons,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.017122202661726267
NumValenceElectrons,ori,jtvae,0.46509043717573406
NumValenceElectrons,ori,digress,0.07423860932138693
NumValenceElectrons,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.47048842616132214
NumValenceElectrons,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.07603800952099384
NumValenceElectrons,jtvae,digress,0.3455269697930008
NHOHCount,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.20995013786687294
NHOHCount,ori,jtvae,0.09107478547543887
NHOHCount,ori,digress,0.025864742105351373
NHOHCount,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.22620485804958093
