Descriptor,Tier,log2_ratio_jtvae,log2_ratio_digress
MolWt,Tier 1,5.078341917593893,2.455661847426812
ExactMolWt,Tier 2,5.195297759481688,2.575644319890975
HeavyAtomCount,Tier 2,4.852094713625297,2.329295441567166
NumValenceElectrons,Tier 2,4.763571064336416,2.1163013782025124
NHOHCount,Tier 2,-1.2049231386906125,-3.0209880237762587
NOCount,Tier 2,3.8242943068165216,2.038893375951874
FractionCSP3,Tier 2,1.3935742513054867,-0.06466370599182172
qed,Tier 1,3.2202536214779127,-0.3269323574760018
BalabanJ,Tier 2,2.077945722714832,1.0560574473985036
NumHDonors,Tier 1,-0.9910711607451645,-3.1066083593559206
NumHAcceptors,Tier 1,2.4084771442091957,1.0947788177218443
MolLogP,Tier 1,3.160707915668038,0.21263612064316637
NumRotatableBonds,Tier 3,2.1121549784483777,0.01683334530559636
TPSA,Tier 1,1.857299326442125,-0.058979741141637614
NumAromaticRings,Tier 3,1.430983663617332,-2.1704721375916587
NumAliphaticRings,Tier 3,-0.050012483262859404,-0.27276850555845494
RingCount,Tier 3,2.0489947574334453,0.8132040744377504
NumSaturatedRings,Tier 3,0.49744382029424355,0.5031640472232067
BertzCT,Tier 3,4.37689411938577,2.463602496337379
MolMR,Tier 4,4.600412789194788,1.7189242247941348
MaxPartialCharge,Tier 4,0.21885153132719995,-1.53113218612622
MinPartialCharge,Tier 4,0.33171843957583713,-0.6190339312411094
MaxAbsPartialCharge,Tier 4,0.6723222305599784,-0.49777102276546226
MinAbsPartialCharge,Tier 4,0.44828516212073366,-1.4133416392061429
Ipc,Tier 4,0.2656809517869419,0.0715078717273142
EState_VSA1,Tier 4,2.142332769104182,0.6153793065783942
Chi0,Tier 5,4.7374915937315905,2.060632479639794
Chi1,Tier 5,5.240779605695395,2.728050524979164
Chi2n,Tier 5,3.8650878351918085,1.7605315980431597
Chi3n,Tier 5,3.203146781964768,1.3010892028338656
Chi0n,Tier 5,4.502399445853939,1.7605025270109143
SlogP_VSA1,Tier 5,0.6130754664553549,-1.0471776969912603
SlogP_VSA2,Tier 5,1.1312879038332515,-0.1537263306022943
SlogP_VSA3,Tier 5,0.3051594569497583,-1.1762330681291764
SlogP_VSA4,Tier 5,1.113409245376918,0.46336632577106446
SlogP_VSA5,Tier 5,1.2517331880413143,-0.12786681294237953
