Feature,Category1,Category2,JS_Distance
MolWt,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.04992085117081626
MolWt,ori,jtvae,0.27303903577704
MolWt,ori,digress,0.10728545583334306
MolWt,ori,defog_strict,0.12708505284149438
MolWt,ori,defog_relaxed,0.1198382994913967
MolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.49813327835760923
MolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.08000927802013186
MolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_strict,0.0997396485521932
MolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_relaxed,0.09030708256543424
MolWt,jtvae,digress,0.3276664012545866
MolWt,jtvae,defog_strict,0.34357517728012815
MolWt,jtvae,defog_relaxed,0.33884479128025996
MolWt,digress,defog_strict,0.06046019284438809
MolWt,digress,defog_relaxed,0.050846783126603415
MolWt,defog_strict,defog_relaxed,0.012799794447539025
ExactMolWt,ori,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,0.050386897818331854
ExactMolWt,ori,jtvae,0.2717180750770371
ExactMolWt,ori,digress,0.10838996712161206
ExactMolWt,ori,defog_strict,0.12803037146325028
ExactMolWt,ori,defog_relaxed,0.12085143377033647
ExactMolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,jtvae,0.4980359637764916
ExactMolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,digress,0.08018886822198769
ExactMolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_strict,0.10010835821732222
ExactMolWt,gen_250209_database_allmolecules_main_2_22_sinfps_timepred_2_22_sinfps_sinexplicit,defog_relaxed,0.0908124683654289
ExactMolWt,jtvae,digress,0.32536734095415176
ExactMolWt,jtvae,defog_strict,0.3411749146209485
ExactMolWt,jtvae,defog_relaxed,0.3363543449076568
