Descriptor,Tier,log2_ratio_jtvae,log2_ratio_digress
MolWt,Tier 1,2.4513927866972067,1.1037400721510775
ExactMolWt,Tier 2,2.4309899974817704,1.1051106815666598
HeavyAtomCount,Tier 2,1.764185215953541,0.4961907985075099
NumValenceElectrons,Tier 2,1.946389507993449,0.49352257779445946
NHOHCount,Tier 2,-1.9844781705541885,-1.8770947446906494
NOCount,Tier 2,1.3900070056425682,0.6419729347619646
FractionCSP3,Tier 2,0.7166931593468789,0.4315936536286507
qed,Tier 1,1.9555760431966103,-0.06704566661111734
BalabanJ,Tier 2,1.469178131019906,1.273590208902199
NumHDonors,Tier 1,-2.2854303171924046,-1.6183067672387867
NumHAcceptors,Tier 1,1.4979311553543802,1.5123001017128979
MolLogP,Tier 1,1.953571139302621,-0.023339779653295183
NumRotatableBonds,Tier 3,1.4654239276677377,-0.2598707650924864
TPSA,Tier 1,2.4750219661176436,1.7999799666830714
NumAromaticRings,Tier 3,1.6816142843106168,1.030510814949298
NumAliphaticRings,Tier 3,-0.41586493866877794,-0.18056975691559352
RingCount,Tier 3,0.5946340215889471,0.6141077147601053
NumSaturatedRings,Tier 3,0.7848453627697957,0.8084016869986133
BertzCT,Tier 3,1.2762911093607516,0.5835571157713416
MolMR,Tier 4,1.8841338631308124,0.47370597736856646
MaxPartialCharge,Tier 4,0.2787423566970145,-0.6092986970510206
MinPartialCharge,Tier 4,-0.34905042724312174,-0.30958763966745156
MaxAbsPartialCharge,Tier 4,0.4461149010349037,0.3869272550151572
MinAbsPartialCharge,Tier 4,0.4188845625641317,-0.549831739904203
Ipc,Tier 4,0.0,0.0
EState_VSA1,Tier 4,1.7490383902912576,0.8223116813979046
Chi0,Tier 5,1.864623405947175,0.4556033089636944
Chi1,Tier 5,1.7318519987468939,0.5031822202876931
Chi2n,Tier 5,1.8824987007591074,0.6267761942114648
Chi3n,Tier 5,1.6019219685526764,0.7037678990188668
Chi0n,Tier 5,1.885404582627025,0.3167492548259086
SlogP_VSA1,Tier 5,0.12153384508352996,-0.509984600173679
SlogP_VSA2,Tier 5,0.3034747038669311,-0.20098388333757616
SlogP_VSA3,Tier 5,-0.12436426580988875,-0.26530601827741923
SlogP_VSA4,Tier 5,-0.6266715803650743,-1.2887658358679368
SlogP_VSA5,Tier 5,0.10740345952046385,-0.2596508787591371
