smiles,molecular_formula,num_atoms
CC(OC(=O)c1ccc(S(=O)(=O)O)cc1)=C1C(=O)OC(=O)N(C2CCCOC2C(C)(C)C)C1=O,C22H25NO10S,57
OOCC1CC(Oc2cc(F)c(F)cc2Cl)CCN1CCOC1=CC=C(Cl)c2nc1no2,C20H19Cl2F2N3O5,50
Cc1c(Sc2sc(N3CCCC3=O)n[n+]2Cc2ccc(F)cc2)sc2c1=CC=CC=CC=2,C24H21FN3OS3+,53
CCOC(=Cc1ccc([N+](=O)[O-])cc1)C=C1C(=O)N(CCC(C)(C)C)C1=O,C20H24N2O5,51
COc1cccc(C(CN(C)C)Nc2cc3ccccc3[nH]c2=O)c1,C20H23N3O2,47
O=C(N=C=S)c1ccccc1,C8H5NOS,16
CCOc1ccc(-c2ccc(-c3cc4c(=O)[nH]c3c(OC)cc3ccc4[nH]c3=O)cc2OC)cc1,C28H24N2O5,59
COC1=CC(C(=O)Nc2cnc(N3CCCCC3)c(-n3cnnc3SC)c2)=C1,C19H22N6O2S,50
FC1=C2N=c3c(c2nn3CCCCCCCC2CN3CCN2CC3)=C1,C19H26FN5,51
C(=Cc1ccccn1)c1ccccc1,C13H11N,25
COc1ccc2c(N(C#N)C(=O)N(C)CC(N)=O)cccc2c1,C16H16N4O3,39
CCc1cccc(OC(=O)c2cccc(Br)c2)c1C(=O)OC,C17H15BrO4,37
COC(C(C)C)C(O)C(O)C(CC(C)=CC(=O)OS(=O)(=O)c1ccccc1)C(C)(C)C,C23H36O7S,62
CCCCCCc1ccc(NC(=O)COP(=O)(O)c2ccc(Cl)cc2C)oc1=O,C20H25ClNO6P,54
Cc1cccc(S(=O)(=O)NC(=NC=NO)NC(=O)c2ccccc2Cl)c1,C16H15ClN4O4S,40
Cc1ccsc1C,C6H8S,15
CCCN1C(=O)CN(Cc2cc(C=Cc3cc(OC)ccc3OC)ccc2OC)C1=O,C24H28N2O5,59
COP(=O)(O)C(=C1CCCCC1)c1ccc(I)cc1,C14H18IO3P,37
O=C(OC1CCN(Cc2ccccc2)C1)c1cccc2c1CCC2,C21H23NO2,47
CCCC(=O)N(CC(=O)OCC)C(=O)c1ccccc1C(=O)c1ccc(OC)cc1C(C)=O,C25H27NO7,60
N#Cc1cccc(NC(N)=O)c2nc3ncccc(Br)cc3cc2c1,C18H12BrN5O,37
CCNS(=O)(=O)c1ccc(Sc2nnc(-c3ccccc3)c(=O)n2C)cc1,C18H18N4O3S2,45
O=c1[nH]c2ncc1-c1ccc(cc1)-c1nnc(n1Cc1ccccc1)SC(F)=C2,C21H14FN5OS,43
Cc1ccc2c3cc(c([N+](=O)N(CC(C)(C)C)C(C)(C)C)c2c1Br)C3=O,C21H26BrN2O2+,52
Cc1sccc1NC(=O)Nc1cccc(Cl)c1Cl,C12H10Cl2N2OS,28
O=C1CCN(C(=O)N2CCCCCC2=O)C(=S)N1,C11H15N3O3S,33
CC(OC(C)C(O)C(C)O)C(=O)n1c2nc(nc1=S)S2,C11H15N3O4S2,31
CC1NC(c2ccccc2Cl)=NN(C)C1C,C12H16ClN3,30
CCOC(=O)N(CCN(C)C)Cc1c(C)n2c3cccc2c13,C17H23N3O2,45
CCSC(=NC1=Cc2c(Sc3ccccc3)ccc1c2[N+](=O)[O-])N1C2C(OC)C(OC)C21,C23H23N3O4S2,51
N#Cc1cccc(CN2CCN(c3nccs3)CC2)c1,C15H16N4S,36
Cc1ccc(N(CCN(C)C(N)=O)C(=O)NC2=CC=C(F)C2=O)cc1,C17H19FN4O3,44
COc1ccccc1-n1c(-c2c(C)cc(C)n2C)nc2ccc(Cl)cc21,C21H20ClN3O,46
CCOCCN(CC(=O)NNS(=O)(=O)C1=CC=C2C=CC=C21)Cc1ccccc1,C21H25N3O4S,54
CCOc1ccc2c(-c3cccc(NC(=O)C4CCC(=O)N4C)c3)ccc(C)c2n1,C24H25N3O3,54
CC1(C)N=C2OC1C1C(CCCN1C(=O)N1CCCCC1)Oc1cc2cc(Br)c1F,C22H27BrFN3O3,54
CCCCCCCC(C)C(OC(=O)c1ccc(C)cc1)C(=O)OC,C20H30O4,52
CNC(=O)c1cc(C(F)(F)F)cn(Cc2c(F)cc(OC)c(OC)c2C(C)(C)C(=O)OC(C)=O)c1=O,C23H24F4N2O7,60
O=C(c1ccc(-c2ccccc2)n2c3ccc(cc3)[nH]c(=O)[nH]cccc12)N1CCCC1,C26H24N4O2,56
CC(=O)OCCCCCn1c(=O)c2ccccc2n2c3nnc(cccc12)s3,C20H20N4O3S,48
CCCCCCCCN(CCC)C(=O)COC(=O)CC,C16H31NO3,51
CCN(C(C)=O)C(=O)c1ccc(C(F)(F)C(F)(F)F)o1,C11H10F5NO3,30
COC(=O)c1ccc(C(Oc2ccccc2C(=O)OC)C(O)C(O)C(Oc2ccccc2OC)C2OC2=O)o1,C27H26O12,60
COC(=O)C=C(OCCOc1ccccc1)c1ccc2cc1C2=O,C19H16O5,40
Cn1c(N)nc(N)nc1=O,C4H7N5O,17
CC(C=CC1CC2C(O)C(C1(C)C)C2(C)C(=O)O)=C(O)C(=O)O,C17H24O6,43
CCN(CCCCC1CCc2nccn21)C(C)=O,C14H23N3O,40
Cc1ccc(Nc2ccc(C=Cc3ccccc3O)cc2)cc1,C21H19NO,42
COC(=O)C1(CC(=O)C2CCCCC2)C(=O)c2ccc1c1cc(OC)ccc21,C23H24O5,52
COc1ccc(OC)c(C(=O)N2CCCCN(c3cc4ccc3cccc3cc4C(=O)N3C)CC2)c1,C29H31N3O4,67
