Feature,Importance_Tier,log2_vs_JTVAE,log2_vs_Digress
MolLogP,1,3.2946342436904215,0.24044559889582898
MolWt,1,5.115917159376388,2.475376701191135
TPSA,1,1.9277749852737693,0.03110402840572167
internal_similarity,1,0.43910431591505156,1.004270586381837
NumHAcceptors,2,2.1074649316619696,0.8336130485525519
NumHDonors,2,-0.778421576674496,-2.853335527017787
NumRotatableBonds,2,2.215727631761133,0.15314932489280395
BertzCT,3,4.464341380299524,2.540106631069581
NumAliphaticRings,3,0.2181263643090404,-0.009998447173694996
NumAromaticRings,3,1.4723541629169554,-2.1507258015090427
