Feature,Category1,Category2,JS_Distance
BertzCT,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.017811421566247758
BertzCT,ori,jtvae,0.3931870895235684
BertzCT,ori,digress,0.10359692647901013
BertzCT,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.3983654268354997
BertzCT,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.10565058915273595
BertzCT,jtvae,digress,0.3452987851464782
MolLogP,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.030933201904500097
MolLogP,ori,jtvae,0.30353488290402597
MolLogP,ori,digress,0.03654316962952236
MolLogP,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.318234363928909
MolLogP,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.054615276391063027
MolLogP,jtvae,digress,0.278223092470978
MolWt,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.014110521942229204
MolWt,ori,jtvae,0.48931395152668933
MolWt,ori,digress,0.07847037283070968
MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.5027282813210211
MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.07974472792593605
MolWt,jtvae,digress,0.3276664012545866
TPSA,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.058586204094726965
TPSA,ori,jtvae,0.2229017384632089
TPSA,ori,digress,0.059863017680342516
TPSA,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.20615070084009304
TPSA,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.09872651803383445
TPSA,jtvae,digress,0.2172791247403678
NumHAcceptors,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.047778898462369115
NumHAcceptors,ori,jtvae,0.2058952332111825
NumHAcceptors,ori,digress,0.08514882616756354
NumHAcceptors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.17470911359628544
NumHAcceptors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.11199540473028194
NumHAcceptors,jtvae,digress,0.2151297958644269
NumHDonors,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.18735077656994323
NumHDonors,ori,jtvae,0.10922630789605504
NumHDonors,ori,digress,0.02592482994277199
NumHDonors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.20334481793754172
NumHDonors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.17876561614497183
NumHDonors,jtvae,digress,0.10599001273972553
NumRotatableBonds,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.06078890368338222
NumRotatableBonds,ori,jtvae,0.2823740549388554
NumRotatableBonds,ori,digress,0.06759691121117345
NumRotatableBonds,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.30312618116776513
NumRotatableBonds,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.04578835287356939
NumRotatableBonds,jtvae,digress,0.2763221036305873
NumAliphaticRings,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.11583269691007757
NumAliphaticRings,ori,jtvae,0.1347391324003785
NumAliphaticRings,ori,digress,0.1150327058415418
NumAliphaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.2424840989062614
NumAliphaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.06420851710816064
NumAliphaticRings,jtvae,digress,0.23431408141002597
NumAromaticRings,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.08864207174033911
NumAromaticRings,ori,jtvae,0.24595896966933142
NumAromaticRings,ori,digress,0.019962131819697877
NumAromaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.2524667153968526
NumAromaticRings,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.1034566833546579
NumAromaticRings,jtvae,digress,0.2405259802142692
internal_similarity,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.165386782587386
internal_similarity,ori,jtvae,0.2242251735805374
internal_similarity,ori,digress,0.3317541534857748
internal_similarity,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.3546970588523709
internal_similarity,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.19051737217795783
internal_similarity,jtvae,digress,0.5071440761038304
