,Feature,Category1,Category2,JS_Distance
0,BertzCT,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.14417732314476117
1,BertzCT,ori,jtvae,0.364142649288881
2,BertzCT,ori,digress,0.22528788426506063
3,BertzCT,ori,defog_strict,0.19503807831199318
4,BertzCT,ori,defog_relaxed,0.19235414887364902
5,BertzCT,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.39505639343052945
6,BertzCT,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.10708283254354428
7,BertzCT,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.06989989166294551
8,BertzCT,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.0684876761996906
9,BertzCT,jtvae,digress,0.34438469235489955
10,BertzCT,jtvae,defog_strict,0.34623801968322676
11,BertzCT,jtvae,defog_relaxed,0.3420482503231644
12,BertzCT,digress,defog_strict,0.04839931658118095
13,BertzCT,digress,defog_relaxed,0.04730600764044482
14,BertzCT,defog_strict,defog_relaxed,0.010177113915354813
15,MolLogP,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.054702542349129885
16,MolLogP,ori,jtvae,0.22828312571649836
17,MolLogP,ori,digress,0.05799149769584412
18,MolLogP,ori,defog_strict,0.03938871918402596
19,MolLogP,ori,defog_relaxed,0.0378777390735756
20,MolLogP,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.3140713096081306
21,MolLogP,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.05072482812763856
22,MolLogP,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.045635337658947665
23,MolLogP,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.055028791482439006
24,MolLogP,jtvae,digress,0.2772450668072185
25,MolLogP,jtvae,defog_strict,0.2589430226131334
26,MolLogP,jtvae,defog_relaxed,0.2523317639272208
27,MolLogP,digress,defog_strict,0.029676774306462497
28,MolLogP,digress,defog_relaxed,0.03639890899583523
29,MolLogP,defog_strict,defog_relaxed,0.013772775109173917
30,MolWt,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.04992085117081626
31,MolWt,ori,jtvae,0.27303903577704
32,MolWt,ori,digress,0.10728545583334306
33,MolWt,ori,defog_strict,0.12708505284149438
34,MolWt,ori,defog_relaxed,0.1198382994913967
35,MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.49813327835760923
