Feature,Importance_Tier,log2_vs_JTVAE,log2_vs_Digress
MolLogP,1,1.9843809544868436,0.049759012989397125
MolWt,1,2.274268631254123,0.7292198707803743
TPSA,1,2.348580677081043,1.6924419111252937
internal_similarity,1,2.511621911268535,1.2438516349430815
NumHAcceptors,2,1.5243951135152087,1.576756056074389
NumHDonors,2,-2.128960632395374,-1.3964435574873353
NumRotatableBonds,2,1.5552896119179587,-0.16495011074940796
BertzCT,3,1.2900230635343861,0.6451994065774901
NumAliphaticRings,3,-0.1942934724494248,0.05490809775998371
NumAromaticRings,3,1.6147204242841586,0.9930264454217798
