Descriptor,Tier,log2_ratio_jtvae,log2_ratio_digress
MolWt,Tier 1,2.274268631254123,0.7292198707803743
ExactMolWt,Tier 2,2.255541658350448,0.7251215309336716
HeavyAtomCount,Tier 2,1.6818979848475506,0.47171242641883526
NumValenceElectrons,Tier 2,1.9181232026924477,0.4858975825989891
NHOHCount,Tier 2,-1.8060310544073939,-1.6767936159601438
NOCount,Tier 2,1.3662139352684182,0.631595374535645
FractionCSP3,Tier 2,0.621398057398109,0.35723989768570774
qed,Tier 1,1.9290126288137657,-0.06229523901409368
BalabanJ,Tier 2,1.4261845097303556,1.2491388963396697
NumHDonors,Tier 1,-2.128960632395374,-1.3964435574873353
NumHAcceptors,Tier 1,1.5243951135152087,1.576756056074389
MolLogP,Tier 1,1.9843809544868436,0.049759012989397125
NumRotatableBonds,Tier 3,1.5552896119179587,-0.16495011074940796
TPSA,Tier 1,2.348580677081043,1.6924419111252937
NumAromaticRings,Tier 3,1.6147204242841586,0.9930264454217798
NumAliphaticRings,Tier 3,-0.1942934724494248,0.05490809775998371
RingCount,Tier 3,0.7311754723898372,0.7711000389292006
NumSaturatedRings,Tier 3,1.029618931487196,1.0759935790275896
BertzCT,Tier 3,1.2900230635343861,0.6451994065774901
MolMR,Tier 4,1.8335778786793488,0.41365744953743105
MaxPartialCharge,Tier 4,0.4368301542873966,-0.39465706183038085
MinPartialCharge,Tier 4,0.8674863670125111,0.3920804718665916
MaxAbsPartialCharge,Tier 4,1.2255419984491287,0.9065992064069105
MinAbsPartialCharge,Tier 4,0.5000766019132346,-0.4362866951276739
Ipc,Tier 4,0.0,0.0
EState_VSA1,Tier 4,2.0529759420583087,1.1506294359968225
Chi0,Tier 5,1.849947633002456,0.45968049163811625
Chi1,Tier 5,1.6716178201446,0.46208272334256745
Chi2n,Tier 5,2.05433044557877,0.8012371339621055
Chi3n,Tier 5,1.715162563804003,0.8306315983586057
Chi0n,Tier 5,1.9067841653856785,0.35433149065782577
SlogP_VSA1,Tier 5,0.4911298261552351,-0.07374591782388856
SlogP_VSA2,Tier 5,0.5118514699634783,-0.07243150363542644
SlogP_VSA3,Tier 5,0.19921408733312992,0.06205038384862563
SlogP_VSA4,Tier 5,-0.7262253764393272,-0.8469849254250836
SlogP_VSA5,Tier 5,0.002441683193955706,-0.352210388281385
