smiles,molecular_formula,num_atoms
CCCCCCCCOC(=O)c1c(-c2ccc(S(=O)(=O)N(C)C)cc2)[nH]c2ncccc12,C24H31N3O4S,62
CN(C)C(=O)N1CCN(S(=O)(=O)c2nn3c(=O)n2C(Br)=CC=C3F)CC1,C13H16BrFN6O4S,42
CCN(C(=O)c1ccc(C(=O)N2CCCCC2=O)cc1Cl)C(=O)c1cc(Cl)c(OC)cc1Cl,C23H21Cl3N2O5,54
c1ccc(-c2cc3nc(c2)SCC3)cc1,C13H11NS,26
COc1ccccc1C=CC=Cc1nc2ccccc2n1C,C19H18N2O,40
CCCCCCCCC(=O)C(C)=CS(=O)(=O)[O-],C12H21O4S-,38
CN=C(N)NS(=O)(=O)C1=CC=C(Cl)C=CC=C1,C10H12ClN3O2S,29
COc1ccc(Cl)c(C(=O)N2CCCN3CCCN(CC2)C3=O)ccccc1Cl,C21H25Cl2N3O3,54
CC(C)(C)C(=O)OC1CCC(OP(=O)=O)=Cc2ccccc2S1(=O)=O,C16H19O7PS,43
CNC(=O)c1cc(OC)ccc1C1=C(C)C(=O)N(C)C1=O,C15H16N2O4,37
CN(C)C1C2NC(=O)C3C(O)C(O)C(N(CC[NH3+])C([NH3+])=O)C(O2)N3C(=O)C(NC(=O)[NH+](C)C)C1O,C19H37N8O8+3,56
CN(CCCCc1cc2ccc1-2)c1nnc(N2CCCC(C)(C)C2=O)s1,C20H26N4OS,52
C=C(Cl)C=CC(=Nc1nnc(NC)n1-c1ccc(Cl)cc1[N+](=O)[O-])c1cccc(C(F)(F)F)c1,C21H15Cl2F3N6O2,49
O=C(NC(=O)N1CCCCC1)Oc1ccccc1Cl,C13H15ClN2O3,33
O=C(O)N=C1Oc2ccc(cc2Cl)C=C1Cl,C10H5Cl2NO3,21
NC(=O)C(=CC=Cc1ccc(Cl)cc1)C(=O)N1CCCCC1,C17H19ClN2O2,41
Cc1ccc(-c2ncccn2)cc1CC(=O)N1CCC1,C16H17N3O,37
O=C(C1=CC=C(F)C1)N1CCCC1,C10H12FNO,25
CCN(CC(=O)OC(C)C)C(=O)c1cc(Cl)ccc1C(F)(F)F,C15H17ClF3NO3,40
O=C1CCCCCN1C(=O)c1ccc(Cl)c(Cl)c1,C13H13Cl2NO2,31
O=C(C[Na])NCC(=O)NNP(=O)(O)O,C4H9N3NaO5P,23
COC(=O)N(C)CN(C)C,C6H14N2O2,24
O=c1[nH]c(=O)c2ccccccc1N=C(Nc1ccccc1)N2,C17H14N4O2,36
O=C1COC(=O)c2ccc(Br)c(c2)C(=O)c2cccc1c2,C16H9BrO4,30
CCCCCOC(=O)OC(=O)C(C)=C(F)NC(=O)N1CCN(C(=O)OCC)CC1,C18H28FN3O7,56
C=Cc1cnc2c(cccc(C(=O)NC(C)=O)c1)=C(OC)C(NC(C)=O)=CC=CC=2,C23H23N3O4,53
COc1ccccc1CN(C)C(=O)c1cccc(C(=O)c2csc(N(C)C)n2)c1,C22H23N3O3S,52
CSc1nnc(-c2ccc(Br)cc2OC2=CC(=CC=CCl)C=C2)[nH]1,C17H13BrClN3OS,37
CCCCCCCC(C1OC2C3OC(O3)C2O1)C(C)(C)c1ccccc1,C22H32O4,52
CCNC(=O)c1cc2ccc(C(=O)N3CCCCC3)cc2c(=O)n1CC,C20H25N3O3,51
COc1ccc(C2=NC(N(C)C(=O)c3ccccc3)CC(=O)N2)cc1,C19H19N3O3,44
COc1ccc2c(O)ccc(C(=O)OC3C(=O)N(C)C3=O)c2c1,C16H13NO6,36
C=C(C=Cc1ccc(C(=O)OC)c(C(=O)N(C)C(C)=O)c1)c1ccc(OC)cc1,C23H23NO5,52
O=C(SCC1CCCC1)N1C(=O)N(C2CCCCC2)C(=O)c2ccc1cc2,C21H26N2O3S,53
CCCCCN(C)S(=O)(=O)C1=CC=C(C(=O)N2CCCCC2)C1=CC=CC(=O)OC,C22H32N2O5S,62
O=C(NC1=COc2ccccc2O1)Nc1ccccc1,C15H12N2O3,32
CN(CCCN(C)c1ccccc1-c1nccc2c1=CN=2)C(=O)c1ccccc1,C24H24N4O,53
COc1ccc(S(=O)(=O)N2CCN3CCN(C3=O)C(=Cc3cc([N+](=O)[O-])c(Cl)s3)C2)cc1,C19H19ClN4O6S2,51
O=c1[nH]n(-c2cc(Cl)cc([N+](=O)[O-])c2)c(=NC2=CC=C2)n1CCOc1cccc(C(F)(F)F)c1,C21H15ClF3N5O4,49
COC(=O)c1ccccc1C(C)=C1C2C3C1C(C)(C)C2C3(C)C,C21H26O2,45
COC1=CC=C(c2cc(Cl)ccc2-n2c3nnc2N(C)C(=O)N(C)C3=O)C=CC=C1,C21H18ClN5O3,48
C=c1c(S(=O)(=O)c2ccc(Cl)cc2)ccccc2cc3sc(n2)n3c(=O)n(C)c(=O)c1=C,C22H16ClN3O4S2,48
CSc1ccccc1C(=O)N1CCC(=O)N2CCN(CC2)C1=O,C16H19N3O3S,42
CCCCN(Cc1ccccc1)C(=O)c1ccc(C(=O)N(C)C)c2ccccc12,C25H28N2O2,57
