smiles,molecular_formula,num_atoms,time
Cc1nc(Br)ncc1N1C(=O)CCNC1=O,C9H9BrN4O2,25,0.00595284765586257
O=C1CCCCCCCCCCCCC(=S)OC(=O)CO1,C16H26O4S,47,0.008052894845604897
COc1ccccc1Cc1cc2nc(c1)n(C)c1cccc([nH]2)c1C,C21H21N3O,46,0.010197927244007587
CC(C)(C)C(=O)C1=CCCC1=O,C10H14O2,26,0.022414470091462135
COC(=O)C(C(=O)N1CCCCCCCC(=O)C1)=C1SCCS1,C16H23NO4S2,46,0.004087928216904402
COc1cc(C(=O)N2CCC3(CCCC(C)(C)C3)C2=O)ccc1C(F)(F)F,C20H24F3NO3,51,0.004943511448800564
CCCCC(C)(C)C(C)(C)OC(=O)c1cccc2ccccc12,C21H28O2,51,0.00431231502443552
N#Cc1nnnc(Nc2ccccc2)n1,C9H6N6,21,0.0054019298404455185
CCN(C)C(=O)N1CCN(C(=O)Nc2ccc3c(OC)csc3c2)C1=O,C17H20N4O4S,46,0.006831074133515358
O=C(C=C1C(Br)=C1Br)OCc1c(Br)ccc(Br)c1Br,C12H5Br5O2,24,0.017829803749918938
CCNC(=O)Cn1c2nc(c1C)-c1nnc(n1C)S2,C11H14N6OS,33,0.0088792834430933
O=C(Nc1ccc(Cl)cc1)N1CCN2c3c4ccccc(nc-4n4c(nc3C1)SCC4)S2(=O)=O,C22H19ClN6O3S2,53,0.00862367544323206
O=C1C=CC=C1C(=O)OCCCC1CC1,C12H14O3,29,0.047025006264448166
COC(C)(C)O,C4H10O2,16,0.18117274343967438
O=C(c1ccc(-c2cc(F)ccc2N2CCCCC2)o1)N1CCCC1,C20H23FN2O2,48,0.0018831577617675066
CNC(=O)CCCCn1c(=O)c2ccc1c1ccc(OC)cc21,C18H20N2O3,43,0.005840845871716738
CCCCN(C)S1(c2cccnc2)=Nc2ccccc2N=1,C16H20N4S,41,0.012589859776198864
CC(C)N(C(=O)Nc1nc(=O)n2c(=O)cccc2s1)C(=O)c1ccc(Br)cc1,C18H15BrN4O4S,43,0.0024365303106606007
Cn1c(NC2=NC(O)=N2)nc2cccnc21,C9H8N6O,24,0.007218133192509413
O=C(CCCCCN1CCCCC1)Nc1ccccc1NC(=O)c1ccccc1,C24H31N3O2,60,0.002009318210184574
CSC(=O)NNC(=S)NC(=O)NC(=O)c1c(C)nn2c3cccn4ccc(c34)c12,C17H15N7O3S2,44,0.002811784390360117
CC(=CC=C1C(=O)N1CC(=O)N1CCCCCCCCCC1)C(=O)N1CCCCC1,C24H37N3O3,67,0.005682747811079025
CCCCCCCCC1(C)CCN(c2nc3ccc2o3)C(=O)O1,C18H26N2O3,49,0.02089369297027588
O=C(NN=NO)c1ccccc1,C7H7N3O2,19,0.007331124506890774
Cc1ccc(C(=O)OCCc2ccco2)nc1-c1ccccc1CCC(=O)N1CCCC1,C26H28N2O4,60,0.003124397015199065
O=C1Cn2c3cc(cccc-3cccc3cc(Cl)cnc32)N1,C17H12ClN3O,34,0.02619846537709236
Cn1c(=O)c2c3ccc(C(C)(C)C)nc3c1=CC=C(C(C)(C)C)C=2,C21H26N2O,50,0.01041463017463684
CCCCOC(=O)c1ccc(OC)c2ccccc12,C16H18O3,37,0.005056446418166161
COc1ccccc1OCCN(C(=O)c1ccccc1C(C)=O)C(=O)C(C)(C)C,C23H27NO5,56,0.005189548246562481
C(=NNc1ccccc1)c1cccc2ccccc12,C17H14N2,33,0.0022892083507031202
FC(F)(F)c1cc(Cl)ccc1Cl,C7H3Cl2F3,15,0.0071385204792022705
COc1ccc(N)c(-n2nc(CCNC(=O)c3cccc(C)c3)cc2C)c1,C21H24N4O2,51,0.009805872105062008
CC1(CC(=O)NCc2c(-c3cnc(N)nc3)ccc3c4ccc(cc4)c23)CCCC1,C25H26N4O,56,0.003979794215410948
COc1ccc2c(c1)CN(C(=O)N(CCc1ccccc1)Cc1ccc(C(F)(F)F)cc1C#N)C2,C27H24F3N3O2,59,0.005315709859132767
COc1ccc(OCCN2CC(=O)OC2=O)cc1,C12H13NO5,31,0.01038871705532074
CC(=O)NC(N)=NC=CC=C(C(=O)Nc1cccc(Cl)c1)C(Cl)=CC=C(Cl)Cl,C18H16Cl4N4O2,44,0.016368430107831955
Cc1ccc(-c2ccc(C(=O)OCCN(CC(=O)O)C(=O)c3ccc(C)o3)cc2)cc1,C24H23NO6,54,0.0020422369707375765
CC(C)(C)CCCCC1CCCN1CCCn1c(=O)c2c3cn4c(n3)snc1c24,C22H31N5OS,60,0.0067234160378575325
COc1ccc2c(c1)CCCN2C(=O)c1ccc(OC)c(C(=O)N2CCCC2)c1,C23H26N2O4,55,0.0010400630999356508
COc1cc(F)cc(N(C(=O)N(CC(=O)O)C(=O)N2CCCCC2)c2ccc(Cl)cn2)c1,C21H22ClFN4O5,54,0.0018404790898784995
CCCC(=O)NC(=O)N1CCCCC1,C10H18N2O2,32,0.011526168324053288
CN1CCC2CN(CCn3cc(C=CC=Cc4ccccc4)cn3)CCN2C1=O,C23H29N5O,58,0.006587717216461897
COc1ccc(C(=O)Nc2ccc(Br)cc2OCCOc2ccccc2)cc1,C22H20BrNO4,48,0.0012778782984241843
COc1ccccc1N=C(NCc1ccccc1)N(C)CCCN1CCCC1,C23H32N4O,60,0.003984596114605665
CCOC(=O)c1cc(OCCC(=O)OCCCC2CCCC(=O)O2)c(C(=O)OC)cc1OC,C23H30O10,63,0.005155463702976704
Cc1c(CC(=O)N2CCCCC2)c2nc3ccc2c(C(=O)N2CCCC2)c13,C22H25N3O2,52,0.0010264844167977571
Cc1ncnn(C(=O)Nc2ccccc2)cccc1C(F)(F)F,C15H13F3N4O,36,0.008446751162409782
CC(C)(C)CCn1c(=O)c2nnc1s2,C9H13N3OS,27,0.0050690872594714165
O=C(NC(=O)c1ccccc1)SC(=O)Nc1ccccc1,C15H12N2O3S,33,0.002610341412946582
COc1ccc(C(=O)NCCN2CCN(c3ccc(OC)c(OC)c3)C2=O)cc1,C21H25N3O5,54,0.002601679414510727
C=C(N=c1nc(N)nc(Nc2ccc(Cl)cc2)[nH]1)c1cccc(Cl)c1,C17H14Cl2N6,39,0.008021439425647259
N#CC(=O)N(CCNC(=O)c1ccccc1)CC(=O)O,C13H13N3O4,33,0.005030717700719833
CCN(CN1CCCCC1=O)C(=O)c1cc(OC)cc2ccccc12,C20H24N2O3,49,0.004876990802586079
CC1(C)CN(C(=O)NCCC(=O)NC2=Cc3ccccc32)CCO1,C18H23N3O3,47,0.018162867054343224
