smiles,original_smiles,molecular_formula,num_atoms,fragment_formula
CC(=O)Nc1ccc(OCC(F)CF)cc1,CC(=O)Nc1ccc(O)cc1,C11H13F2NO2,29,C3H6F2
O=C(C[SH]1(O)=CNO1)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C9H12N2O4S,28,CH5NO2S
CC(=O)Nc1ccc(OCN(N)N=N)cc1,CC(=O)Nc1ccc(O)cc1,C9H13N5O2,29,CH6N4
CC(=O)Nc1ccc(O)c(C2CSOCS2)c1,CC(=O)Nc1ccc(O)cc1,C11H13NO3S2,30,C3H6OS2
CC(=O)Nc1ccc(OS23=C4C=2C3C4Cl)cc1,CC(=O)Nc1ccc(O)cc1,C12H10ClNO2S,27,C4H3ClS
CC(=O)Nc1ccc(O)c(C(C)(Cl)C(Cl)Cl)c1,CC(=O)Nc1ccc(O)cc1,C11H12Cl3NO2,29,C3H5Cl3
CC(=O)Nc1ccc(O)c(C(CF)C(C)F)c1,CC(=O)Nc1ccc(O)cc1,C12H15F2NO2,32,C4H8F2
C=C(Oc1ccc(NC(C)=O)cc1)N1C=C1,CC(=O)Nc1ccc(O)cc1,C12H12N2O2,28,C4H5N
CC(=O)Nc1ccc(OC2(Cl)NC(Cl)O2)cc1,CC(=O)Nc1ccc(O)cc1,C10H10Cl2N2O3,27,C2H3Cl2NO
O=C(COOSF)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C8H8FNO4S,23,HFO2S
CC(=O)Nc1ccc(O)cc1C(Cl)(Cl)C=O,CC(=O)Nc1ccc(O)cc1,C10H9Cl2NO3,25,C2H2Cl2O
CC(=O)Nc1ccc(O)cc1C12OSN1N2O,CC(=O)Nc1ccc(O)cc1,C9H9N3O4S,26,CH2N2O2S
CC(=O)Nc1ccc(O)cc1C(Cl)C1CC1,CC(=O)Nc1ccc(O)cc1,C12H14ClNO2,30,C4H7Cl
CC(=O)Nc1ccc(O)c(C=C(Cl)CCl)c1,CC(=O)Nc1ccc(O)cc1,C11H11Cl2NO2,27,C3H4Cl2
C=C=COc1cc(O)ccc1NC(C)=O,CC(=O)Nc1ccc(O)cc1,C11H11NO3,26,C3H4O
CC(=O)Nc1ccc(O)cc1SCOO[O-],CC(=O)Nc1ccc(O)cc1,C9H10NO5S-,26,CH3O3S-
CCSc1cc(O)ccc1NC(C)=O,CC(=O)Nc1ccc(O)cc1,C10H13NO2S,27,C2H6S
CC(=O)Nc1ccc(OC2(CO)OC2[O-])cc1,CC(=O)Nc1ccc(O)cc1,C11H12NO5-,29,C3H5O3-
CC(=O)Nc1ccc(O)c(OBCCO)c1,CC(=O)Nc1ccc(O)cc1,C10H14BNO4,30,C2H7BO2
CC(=O)Nc1ccc(OOC(=CCl)OCl)cc1,CC(=O)Nc1ccc(O)cc1,C10H9Cl2NO4,26,C2H2Cl2O2
O=C(CC1=C=[SH2]1S)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C10H11NO2S2,26,C2H4S2
CC(=O)Nc1ccc(O)c(C(F)(F)F)c1,CC(=O)Nc1ccc(O)cc1,C9H8F3NO2,23,CHF3
CCC(Br)C(C)c1cc(O)ccc1NC(C)=O,CC(=O)Nc1ccc(O)cc1,C13H18BrNO2,35,C5H11Br
C=NC#Cc1cc(O)ccc1NC(C)=O,CC(=O)Nc1ccc(O)cc1,C11H10N2O2,25,C3H3N
CC(=O)N(c1ccc(O)cc1)c1csn2[nH]n12,CC(=O)Nc1ccc(O)cc1,C10H10N4O2S,27,C2H3N3S
CC(=O)Nc1ccc(O)c(CF)c1,CC(=O)Nc1ccc(O)cc1,C9H10FNO2,23,CH3F
