smiles,original_smiles,molecular_formula,num_atoms,fragment_formula
CC1(C)CC2=C(CC(=O)Nc3ccc(O)cc3)C3CC1CC2N3,CC(=O)Nc1ccc(O)cc1,C19H24N2O2,47,C11H17N
CC(=O)N(c1ccc(O)cc1)C12NC34C5OC36CC(O)OC43C(C1C56)C23,CC(=O)Nc1ccc(O)cc1,C19H18N2O5,44,C11H11NO3
CC(=O)N(C(=O)C1(C)C2=CC23CC(C)C31)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C18H19NO3,41,C10H12O
CC(=O)Nc1ccc(O)c(C(CO)OC=C(C)N)c1,CC(=O)Nc1ccc(O)cc1,C13H18N2O4,37,C5H11NO2
CC(=O)Nc1ccc(O)cc1C12CC1OCC2(C)CO,CC(=O)Nc1ccc(O)cc1,C15H19NO4,39,C7H12O2
CC(=O)Nc1ccc(O)cc1C12C3OC14CC42O3,CC(=O)Nc1ccc(O)cc1,C13H11NO4,29,C5H4O2
CC(=O)Nc1ccc(O)cc1CC1(O)C=NC(C)C1,CC(=O)Nc1ccc(O)cc1,C14H18N2O3,37,C6H11NO
CC(=O)Nc1ccc(O)cc1N1CCC2COC1(C)C2,CC(=O)Nc1ccc(O)cc1,C15H20N2O3,40,C7H13NO
CC(=O)N(CC12C3COC1(N)C3C1OC12)c1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C16H18N2O4,40,C8H11NO2
CC(=O)Nc1ccc(O)c(C2NCC34COC3C4N2)c1,CC(=O)Nc1ccc(O)cc1,C14H17N3O3,37,C6H10N2O
CC(=O)N(c1ccc(O)cc1)C(F)(F)C(F)(F)F,CC(=O)Nc1ccc(O)cc1,C10H8F5NO2,26,C2HF5
CCC(CC)C(O)CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C14H21NO3,39,C6H14O
O=C(CN1CC2OC3=C1SC32)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C13H12N2O3S,31,C5H5NOS
CCNC1CCC2(c3cc(NC(C)=O)ccc3O)C(C)C2O1,CC(=O)Nc1ccc(O)cc1,C17H24N2O3,46,C9H17NO
