mol_index,smiles,edges,target_swaps_formula,target_swaps,actual_swaps
0,CCCC(=O)C1=C(NCCc2c(C)[nH]c3ccccc23)CCCC1=O,59,ceil(0.5 * num_edges),30,30
1,CCN(CC)S(=O)(=O)c1ccc(NS(=O)(=O)c2cccc(C)c2)cc1,58,ceil(0.5 * num_edges),29,29
2,COc1ccc(NC(=O)Cn2nc3ccc(-c4ccc(Cl)cc4)nn3c2=O)cc1OC,63,ceil(0.5 * num_edges),32,32
3,Fc1ccc(-c2[nH]c(-c3cc(Br)cs3)nc2-c2ccncc2)cc1,47,ceil(0.5 * num_edges),24,24
4,COc1ccc(/N=c2\scc(-c3cc4ccccc4oc3=O)n2-n2c(C)nn(-c3ccc(Br)cc3)c2=O)cc1,79,ceil(0.5 * num_edges),40,40
5,CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)CCC(=O)O)c2)n1,76,ceil(0.5 * num_edges),38,38
6,O=C(Nc1ccc(F)cc1)C1(C(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)c(F)c2)CC1,65,ceil(0.5 * num_edges),33,33
7,O=C1c2sc(COc3ccccc3F)nc2CCN1c1ccc(F)cc1,52,ceil(0.5 * num_edges),26,26
8,COc1ccc(CCNC(=O)C23CCC(C)(C(=O)C2=O)C3(C)C)cc1OC,62,ceil(0.5 * num_edges),31,31
9,C(C(C(C(C(C=O)O)N)O)O)O,25,ceil(0.5 * num_edges),13,13
10,Cc1cc(O)c(C(N)=O)c(=O)[nH]1,23,ceil(0.5 * num_edges),12,12
11,Nc1nnc(SCC(=O)NC2CCCc3ccccc32)s1,45,ceil(0.5 * num_edges),23,23
12,Cn1nccc1NC(=O)N1CCCCCCC1,41,ceil(0.5 * num_edges),21,21
13,Nc1cccc2ccncc12,25,ceil(0.5 * num_edges),13,13
14,CCCCCCCCCCCCCC(=O)Oc1ccc([N+](=O)[O-])cc1,61,ceil(0.5 * num_edges),31,31
15,N=C(N)c1ccc(OC[C@@H]2COc3cc(N(Cc4ccccc4)C(=O)C(=O)O)ccc3O2)cc1,71,ceil(0.5 * num_edges),36,36
16,O=C([C@H]1C[C@H](Cc2ccc(F)cc2)CN1)N1CCCN(C2CCC2)CC1,61,ceil(0.5 * num_edges),31,31
17,FC1=CC=C(N)C=C1F,17,ceil(0.5 * num_edges),9,9
18,COc1cccc(C(=O)NCc2n[nH]c(=S)n2-c2ccccc2Cl)c1,50,ceil(0.5 * num_edges),25,25
19,CCCN(C)c1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,72,ceil(0.5 * num_edges),36,36
20,N#Cc1ccc(CCc2ccccn2)cc1,37,ceil(0.5 * num_edges),19,19
21,O=c1ccn(CCN2CCCC2)c(=O)[nH]1,33,ceil(0.5 * num_edges),17,17
22,C/C=C(\C)C(O)=NCC(=O)O,24,ceil(0.5 * num_edges),12,12
23,COc1ccc2c(c1)C[C@H]1c3c(OC)cc(OC)c(CO)c3CCN1C2,59,ceil(0.5 * num_edges),30,30
24,O=C(Nc1ccc(-n2cc(-c3ccncc3)c(-c3ccc(Cl)c(O)c3)n2)cc1)c1ccc(Cl)c(Cl)c1,72,ceil(0.5 * num_edges),36,36
25,Cc1ccc(NC(=O)CN2CCc3ccccc3C2)cc1S(=O)(=O)N(C)C,63,ceil(0.5 * num_edges),32,32
26,C[C@@H](O)[C@H](NCCC1OCC(C)(C)CO1)C(=O)O,40,ceil(0.5 * num_edges),20,20
27,COc1cc(OC)c(OC)cc1/C=C/C(=O)n1cc(/C=C/C(=O)OC(C)(C)C)c2ccccc21,76,ceil(0.5 * num_edges),38,38
28,O=C(OCCC=CCC)C=C(C)C,33,ceil(0.5 * num_edges),17,17
29,CC(=O)Nc1ccc(OC(=O)N(C)c2ccccc2)cc1,46,ceil(0.5 * num_edges),23,23
30,CC1CCCC(C)(C)C1C(=O)OCC=C,39,ceil(0.5 * num_edges),20,20
31,COc1ccccc1NC(=O)Oc1cccc(OC(=O)c2ccccc2)c1,57,ceil(0.5 * num_edges),29,29
32,COC(=O)c1ccc(Cn2c(SCC(=O)N(C)c3ccccc3)nc3ccccc32)cc1,70,ceil(0.5 * num_edges),35,35
33,C=CCn1nc(Cc2ccc(Cl)cc2Cl)c2ccccc2c1=O,48,ceil(0.5 * num_edges),24,24
34,CC(C)C(/N=C/c1c[nH]c2ccccc12)C(=O)O,40,ceil(0.5 * num_edges),20,20
35,Cc1nnc(CN2C[C@@H]3CCC[C@@]3(C(=O)OC(C)(C)C)C2)s1,51,ceil(0.5 * num_edges),26,26
36,C[C@@H]1N[C@H](C(=O)NN)Cc2c1[nH]c1ccccc21,38,ceil(0.5 * num_edges),19,19
37,COc1cc(O)c(C(=O)O[C@@H]2C[C@]3(C)[C@H]4CC(C)(C)C[C@H]4C=C(C=O)[C@]23O)c(C)c1Cl,66,ceil(0.5 * num_edges),33,33
38,Nc1nc(Nc2cccc(O)c2)c2nc[nH]c2n1,36,ceil(0.5 * num_edges),18,18
39,CNc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C(F)(F)F)nn12,46,ceil(0.5 * num_edges),23,23
40,Cc1cccc2c(=O)c([Se]c3coc4c(C)cccc4c3=O)coc12,52,ceil(0.5 * num_edges),26,26
41,CCOc1cc(S(=O)(=O)NCCc2c(C)[nH]c3ccc(C)cc23)ccc1F,60,ceil(0.5 * num_edges),30,30
